Model,MSO2024B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,4,,,,,,,
Sample Interval,0.00032,,,,,,,
Filter Frequency,2e+08,,,,,,,
Record Length,125000,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,0.05,,0.1,,0.2,,2,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-2.00000e+01,0.01,0.044,0.048,0.168,0.056,0.184,0.08,0.24
-1.99997e+01,0.012,-0.018,0.052,-0.044,0.072,-0.04,0.08,0
-1.99994e+01,0.018,0.044,0.052,0.164,0.064,0.176,0.08,0.32
-1.99990e+01,0.018,-0.012,0.048,-0.08,0.048,-0.056,0.08,0
-1.99987e+01,0.012,0.036,0.052,0.164,0.056,0.168,0.08,0.24
-1.99984e+01,0.016,-0.014,0.06,-0.044,0.072,-0.024,0.08,-0.08
-1.99981e+01,0.008,0.038,0.044,0.156,0.072,0.152,0.08,0.24
-1.99978e+01,0.016,-0.012,0.064,-0.036,0.072,-0.016,0.08,0
-1.99974e+01,0.008,0.036,0.052,0.176,0.064,0.184,0.08,0.24
-1.99971e+01,0.02,-0.016,0.06,-0.064,0.08,-0.048,0.08,-0.08
-1.99968e+01,0.01,0.036,0.056,0.168,0.072,0.168,0.08,0.24
-1.99965e+01,0.002,-0.014,0.044,-0.06,0.056,-0.024,0.08,0
-1.99962e+01,0.02,0.038,0.048,0.172,0.064,0.176,0.08,0.24
-1.99958e+01,0.01,-0.02,0.064,-0.04,0.072,-0.024,0.08,-0.08
-1.99955e+01,0.012,0.036,0.048,0.152,0.064,0.16,0.08,0.32
-1.99952e+01,0.01,-0.018,0.064,-0.068,0.064,-0.04,0.08,-0.08
-1.99949e+01,0.004,0.04,0.052,0.164,0.056,0.176,0.08,0.32
-1.99946e+01,0.012,-0.022,0.056,-0.064,0.072,-0.056,0.08,-0.08
-1.99942e+01,0.014,0.036,0.064,0.16,0.072,0.176,0,0.4
-1.99939e+01,0.012,-0.016,0.064,-0.04,0.072,-0.024,0.08,-0.08
-1.99936e+01,0.012,0.036,0.064,0.164,0.072,0.168,0.08,0.32
-1.99933e+01,-0.004,-0.016,0.06,-0.044,0.064,-0.04,0.08,-0.08
-1.99930e+01,0.016,0.042,0.056,0.152,0.08,0.168,0.08,0.32
-1.99926e+01,0.004,-0.022,0.048,-0.056,0.064,-0.056,0.08,-0.08
-1.99923e+01,0.01,0.04,0.064,0.164,0.064,0.176,0.08,0.32